date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:34	271669/271669	---M--	200	added ('OK')	image/jpeg	etag:%2242535-5fbbd09769bff%22	https://neighboranimation.com/wp-content/uploads/2018/08/WIDE_TRICHGUARD.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/08/WIDE_TRICHGUARD.jpg	(from https://neighboranimation.com/)
21:44:34	38042/38042	---M--	200	added ('OK')	image/jpeg	etag:%22949a-5fbbd097a16a2%22	https://neighboranimation.com/wp-content/uploads/2018/07/FINANCIAL_ENGINES_WIDE_1000x500%20(00001)-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/07/FINANCIAL_ENGINES_WIDE_1000x500%20(00001)-500x500.jpg	(from https://neighboranimation.com/)
21:44:34	286025/286025	---M--	200	added ('OK')	image/jpeg	etag:%2245d49-5fbbd098b5c91%22	https://neighboranimation.com/wp-content/uploads/2018/06.7/Moments_Wide.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.7/Moments_Wide.jpg	(from https://neighboranimation.com/)
21:44:34	111479/111479	---MCZ	200	added ('OK')	text/html	etag:%2267065871960e318423d6d6ca7a45361e%22	https://neighboranimation.com/work/future-built-campaign/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/work/future-built-campaign/index.html	(from https://neighboranimation.com/)
21:44:34	150503/150503	---M--	200	added ('OK')	image/jpeg	etag:%2224be7-5fbbd09863c0c%22	https://neighboranimation.com/wp-content/uploads/2018/06.9/OH_THRILL_2_WIDE_1000x500%20(00153).jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.9/OH_THRILL_2_WIDE_1000x500%20(00153).jpg	(from https://neighboranimation.com/)
21:44:34	159327/159327	---M--	200	added ('OK')	image/jpeg	etag:%2226e5f-5fbbd0972d33c%22	https://neighboranimation.com/wp-content/uploads/2019/01/WIDE_1000x500-01242.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2019/01/WIDE_1000x500-01242.jpg	(from https://neighboranimation.com/)
21:44:35	166015/166015	---M--	200	added ('OK')	image/jpeg	etag:%222887f-5fbbd098b2db1%22	https://neighboranimation.com/wp-content/uploads/2018/06.5/EVERYTHING_TAKES_OFF_WIDE_1000x500%20(00135).jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.5/EVERYTHING_TAKES_OFF_WIDE_1000x500%20(00135).jpg	(from https://neighboranimation.com/)
21:44:35	28860/28860	---M--	200	added ('OK')	image/jpeg	etag:%2270bc-5fbbd098b1e11%22	https://neighboranimation.com/wp-content/uploads/2018/06.5/BLUE_ZONES_WIDE_1000x500%20(00293)-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.5/BLUE_ZONES_WIDE_1000x500%20(00293)-500x500.jpg	(from https://neighboranimation.com/)
21:44:35	111472/111472	---M-Z	200	added ('OK')	text/html	etag:%2251aa-63b526d6a7566%22	https://neighboranimation.com/work/mr-bubble-3-in-1/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/work/mr-bubble-3-in-1/index.html	(from https://neighboranimation.com/)
21:44:35	260691/260691	---M--	200	added ('OK')	image/jpeg	etag:%223fa53-5fbbd0973409c%22	https://neighboranimation.com/wp-content/uploads/2018/06.9/SUPERBOWL_STACK_WIDE.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.9/SUPERBOWL_STACK_WIDE.jpg	(from https://neighboranimation.com/)
21:44:35	37240/37240	---M--	200	added ('OK')	image/jpeg	etag:%229178-5fbbd098afed0%22	https://neighboranimation.com/wp-content/uploads/2018/06.5/INTERNET_WIDE_1000x500%20(00217)-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.5/INTERNET_WIDE_1000x500%20(00217)-500x500.jpg	(from https://neighboranimation.com/)
21:44:36	37879/37879	---M--	200	added ('OK')	image/jpeg	etag:%2293f7-5fbbd09786120%22	https://neighboranimation.com/wp-content/uploads/2018/06/DREAMIN_WIDE_1000x500%20(00001)-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06/DREAMIN_WIDE_1000x500%20(00001)-500x500.jpg	(from https://neighboranimation.com/)
21:44:36	269068/269068	---M--	200	added ('OK')	image/jpeg	etag:%2241b0c-5fbbd0978de21%22	https://neighboranimation.com/wp-content/uploads/2018/06/TARGET_WIDE_1000x500%20(00019).jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06/TARGET_WIDE_1000x500%20(00019).jpg	(from https://neighboranimation.com/)
21:44:36	66932/66932	---M--	200	added ('OK')	image/jpeg	etag:%2210574-5fbbd098b3d51%22	https://neighboranimation.com/wp-content/uploads/2018/06.7/Android_Tablet_Loop_Wide.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.7/Android_Tablet_Loop_Wide.jpg	(from https://neighboranimation.com/)
21:44:36	111566/111566	---MCZ	200	added ('OK')	text/html	etag:%22a8f8abd84b33cad0480daa231dcc5d07%22	https://neighboranimation.com/work/ohio-lottery-cash-explosion/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/work/ohio-lottery-cash-explosion/index.html	(from https://neighboranimation.com/)
